ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
20185335,ted.europa.eu/udl?uri=TED:NOTICE:5335-2018:TEXT:EN:HTML,2018,3,04-JAN-18,R209.S2,0,0,N,Kalėjimų departamentas prie Lietuvos Respublikos teisingumo ministerijos,288697120,L. Sapiegos g. 1,Vilnius,LT-10312,A1,LT,LT,N,,1,,Public Order and Safety,N,N,N,S,,N,,,N,72243000,72,,48000000---72267000,Y,3,1,312160.16,312160.16,312160.16,N,OPE,,0,L,,,,N,1,8455797,,,N,N,UAB „DocLogix“,126161855,Žirmūnų g. 139,Vilnius,LT-09120,LT,Y,1,Dokumentų valdymo sistemos plėtros paslaugų pirkimas,1,1,0,0,1,,312160.16,312160.16,N,21-DEC-17
20185509,ted.europa.eu/udl?uri=TED:NOTICE:5509-2018:TEXT:EN:HTML,2018,3,04-JAN-18,R209.S2,0,0,N,VAS &quot;Latvijas gaisa satiksme&quot;,40003038621,Muzeju iela 3; Lidosta “Rīga”,Mārupes novads,LV-1053,A3,LV,LV,N,,6,,Other,N,N,N,S,,N,,,N,72263000,72,,72263000,Y,1,1,495310.0,495310,495310,N,NOC,,0,L,,,,N,1,8456157,,,N,N,Vaisala Oyj,0124416 2,P.O.Box 26,Helsinki,FI-00421,FI,Y,1,"AWOS modernizācija lidlaukā ""Rīga""",1,1,1,0,0,495310,495310,495310,N,21-DEC-17
20187511,ted.europa.eu/udl?uri=TED:NOTICE:7511-2018:TEXT:EN:HTML,2018,3,05-JAN-18,R209.S2,0,0,N,Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos,188659752,Vasario 16-osios g. 14,Vilnius,01514,A1,LT,LT,N,,1,,Economical anf Financial Affairs,N,N,N,S,,N,,,N,72220000,72,,72224000---72225000---72226000,Y,4,1,38000.0,38000,38000,Y,OPE,,0,M,30,Kokybė (T1)---Pasiūlymo pristatymas (T2),65---5,N,1,8458862,,,N,N,UAB „Civitta“,302477747,J. Jasinskio g. 16,Vilnius,LT-01112,LT,Y,1,I.SAF–T posistemio įdiegimo techninės priežiūros paslaugų viešasis pirkimas,4,4,,,4,38000,38000,38000,N,21-DEC-17
201813965,ted.europa.eu/udl?uri=TED:NOTICE:13965-2018:TEXT:EN:HTML,2018,3,10-JAN-18,R209.S2,0,0,N,Valstybinio socialinio draudimo fondo valdyba prie Socialinės apsaugos ir darbo ministerijos,191630223,Konstitucijos pr. 12,Vilnius,09308,A1,LT,LT,N,,1,,Social protection,N,N,N,S,,N,,,N,72200000,72,,72200000,Y,1,1,727355.2,727355.2,727355.2,N,OPE,,0,L,,,,N,1,8469013,,,N,N,UAB „Proit“,302560374,Šeimyniškių g. 3A,Vilnius,09312,LT,Y,1,Eksploatuojamos Dokumentų valdymo sistemos veikimo stebėjimo; priežiūros ir modifikavimo paslaugų pirkimas,1,1,,,,727355.2,727355.2,727355.2,N,18-DEC-17
201813968,ted.europa.eu/udl?uri=TED:NOTICE:13968-2018:TEXT:EN:HTML,2018,3,10-JAN-18,R209.S2,0,0,N,Lietuvos automobilių kelių direkcija prie Susisiekimo ministerijos,188710638,J. Basanavičiaus g. 36,Vilnius,03109,A1,LT,LT,N,,1,,Other,N,N,N,S,,N,,,N,72260000,72,,72250000,Y,1,1,,,,N,OPE,,0,L,,,,N,1,8469022,,PROCUREMENT_DISCONTINUED,N,,,,,,,,,1,Elektroninio statybos žurnalo sukūrimas,,,,,,,,0,,
201816484,ted.europa.eu/udl?uri=TED:NOTICE:16484-2018:TEXT:EN:HTML,2018,3,11-JAN-18,R209.S2,0,0,N,Latvijas Republikas Iekšlietu ministrijas Informācijas centrs,90000289913,Bruņinieku iela 72b,Rīga,LV-1016,A1,LV,LV,N,,1,,Public Order and Safety,N,N,N,S,,N,,Y,N,72260000,72,,72260000,Y,3,1,160792.8,160792.8,160792.8,Y,OPE,,0,M,40,Piedāvātā pakalpojuma kvalitāte,60,N,1,8473200,,,N,N,SIA &quot;Datacom&quot;,40103142605,Vienības gatve 109,Rīga,LV-1058,LV,Y,1,SIRENE datu plūsmas informācijas sistēmas modernizācija,4,4,0,0,0,160792.8,160792.8,160792.8,N,27-DEC-17
201816488,ted.europa.eu/udl?uri=TED:NOTICE:16488-2018:TEXT:EN:HTML,2018,3,11-JAN-18,R209.S2,0,0,N,Latvijas Republikas Iekšlietu ministrijas Informācijas centrs,90000289913,Bruņinieku iela 72b,Rīga,LV-1016,A1,LV,LV,N,,1,,Public Order and Safety,N,N,N,S,,N,,Y,N,72260000,72,,72260000,Y,4,1,52500.0,52500,52500,Y,OPE,,0,M,40,Piedāvātā pakalpojuma kvalitāte,60,N,1,8473207,,,N,Y,SIA &quot;DATI Group&quot;---SIA &quot;Squalio Cloud Consulting&quot;,40003115371---40103853272,Balasta dambis 80A---Elizabetes iela 75,Rīga---Rīga,LV-1048---LV-1050,LV---LV,Y---Y,1,Biometrijas datu apstrādes informācijas sistēmas funkcionalitātes pilnveidošana,1,1,0,0,0,52500,52500,52500,N,06-OCT-17
201816496,ted.europa.eu/udl?uri=TED:NOTICE:16496-2018:TEXT:EN:HTML,2018,3,11-JAN-18,R209.S2,0,0,N,Centrālā vēlēšanu komisija,90000028391,Smilšu iela 4,Rīga,LV-1050,A1,LV,LV,N,,1,,Other,N,N,N,S,,N,,,N,72000000,72,,72000000,Y,1,1,208585.0,208585,208585,N,OPE,,0,M,60 punkti,Detalizācijas pakāpe,40 punkti,N,1,8473215,,,N,N,SIA &quot;SOAAR&quot;,45403018166,&quot;Mazplānlejas&quot;,Salas nov.,LV-5230,LV,Y,1,E-pakalpojums: 2018. gada Saeimas vēlēšanu organizēšana,1,1,0,0,0,207000,208585,208585,N,05-JAN-18
201816609,ted.europa.eu/udl?uri=TED:NOTICE:16609-2018:TEXT:EN:HTML,2018,3,11-JAN-18,R209.S2,0,0,N,Latvijas Republikas Iekšlietu ministrijas Informācijas centrs,90000289913,Bruņinieku iela 72b,Rīga,LV-1016,A1,LV,LV,N,,1,,Public Order and Safety,N,N,N,S,,N,,Y,N,72260000,72,,72260000,Y,3,1,198622.56,198622.56,198622.56,Y,OPE,,0,M,40,Piedāvātā paklpojuma kvalitāte,60,N,1,8473460,,,N,N,SIA &quot;Datacom&quot;,40103142605,Vienības gatve 109,Rīga,LV-1058,LV,Y,1,SIRENE datu-plūsmas informācijas sistēmas modernizācija,4,4,0,0,0,198622.56,198622.56,198622.56,N,16-OCT-17
201817198,ted.europa.eu/udl?uri=TED:NOTICE:17198-2018:TEXT:EN:HTML,2018,3,11-JAN-18,R208.S3,0,0,,UAB Verslo aptarnavimo centras,303359627,P. Lukšio g. 5B,Vilnius,08221,A3,LT,LT,,,8,,Other,Y,,,S,,Y,,Y,,72260000,72,,,Y,1,1,900000.0,900000,900000,N,,,0,L,100,,,N,5,8474193,1,,N,,UAB „Baltic Amadeus“,,Akademijos g. 4,Vilnius,08412,LT,,1,IT kompetencijų paslaugos,5,,,,,,900000,900000,N,26-OCT-17
